iter	Passed	Remaining
0	27	5491
1	37	3731
2	46	3083
3	58	2855
4	67	2617
5	79	2559
6	90	2506
7	100	2407
8	112	2378
9	124	2374
10	136	2340
11	148	2319
12	161	2325
13	174	2317
14	185	2290
15	196	2256
16	207	2230
17	218	2206
18	227	2168
19	238	2149
20	248	2114
21	259	2100
22	270	2084
23	282	2070
24	292	2049
25	303	2032
26	313	2007
27	322	1983
28	332	1962
29	341	1935
30	352	1921
31	362	1903
32	372	1885
33	383	1871
34	395	1862
35	405	1845
36	417	1838
37	427	1824
38	438	1810
39	449	1797
40	459	1783
41	469	1768
42	480	1755
43	491	1742
44	502	1730
45	514	1721
46	525	1709
47	535	1694
48	546	1684
49	556	1669
50	566	1656
51	578	1645
52	587	1628
53	598	1617
54	609	1606
55	618	1590
56	629	1578
57	639	1565
58	649	1551
59	660	1541
60	675	1538
61	685	1526
62	697	1516
63	709	1508
64	720	1496
65	733	1489
66	747	1483
67	759	1475
68	770	1463
69	780	1449
70	792	1439
71	803	1427
72	812	1413
73	824	1403
74	834	1391
75	844	1377
76	856	1367
77	865	1353
78	876	1341
79	886	1329
80	895	1315
81	906	1304
82	916	1292
83	926	1280
84	937	1268
85	947	1255
86	958	1245
87	970	1234
88	979	1221
89	989	1209
90	1000	1198
91	1010	1185
92	1023	1177
93	1035	1167
94	1047	1158
95	1058	1146
96	1069	1135
97	1081	1125
98	1091	1113
99	1102	1102
100	1112	1090
101	1121	1077
102	1132	1066
103	1145	1057
104	1157	1046
105	1170	1038
106	1183	1028
107	1195	1018
108	1203	1005
109	1216	995
110	1230	986
111	1242	976
112	1254	965
113	1293	975
114	1315	972
115	1329	962
116	1350	958
117	1375	955
118	1393	948
119	1422	948
120	1439	939
121	1455	930
122	1471	921
123	1488	912
124	1503	901
125	1519	892
126	1536	883
127	1550	872
128	1559	858
129	1568	844
130	1576	830
131	1584	816
132	1592	802
133	1601	789
134	1610	775
135	1618	761
136	1627	748
137	1635	734
138	1643	721
139	1651	707
140	1659	694
141	1666	680
142	1676	668
143	1683	654
144	1692	641
145	1699	628
146	1707	615
147	1715	602
148	1726	590
149	1734	578
150	1746	566
151	1757	555
152	1778	546
153	1797	537
154	1813	526
155	1825	514
156	1841	504
157	1850	491
158	1860	479
159	1869	467
160	1877	454
161	1887	442
162	1895	430
163	1904	418
164	1912	405
165	1922	393
166	1931	381
167	1940	369
168	1948	357
169	1959	345
170	1967	333
171	1975	321
172	1985	309
173	1993	297
174	2002	286
175	2010	274
176	2020	262
177	2029	250
178	2040	239
179	2051	227
180	2060	216
181	2070	204
182	2079	193
183	2090	181
184	2099	170
185	2108	158
186	2118	147
187	2126	135
188	2137	124
189	2147	113
190	2155	101
191	2166	90
192	2174	78
193	2185	67
194	2194	56
195	2204	44
196	2214	33
197	2222	22
198	2232	11
199	2240	0
